cell_channel,protein_role,puncta_channel,puncta_id,pixel_count,mean_intensity,max_intensity,centroid_x_um,centroid_y_um,centroid_z_um,centroid_inside_cell_flag,overlap_fraction_in_cell_pct,surface_distance_um,inside_mesh_flag,within_surface_threshold_flag,display_threshold_pass_flag,classification
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4566,68,0,0,361,314,44,False,40,0,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4567,7,0,0,349,320,43,True,57,0,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4575,166,0,0,346,332,45,False,19,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4576,84,0,0,323,332,45,True,33,1,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4578,78,0,0,352,336,45,False,3,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4585,63,0,0,344,357,44,True,60,0,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4587,916,0,0,284,362,49,False,39,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4589,574,0,0,402,362,47,False,19,0,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4595,129,0,0,285,375,47,True,74,1,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4599,113,0,0,306,385,44,False,35,0,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4601,76,0,0,262,386,45,False,8,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4602,98,0,0,311,388,44,False,20,0,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4603,253,0,0,282,400,45,True,70,0,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4606,195,0,0,264,410,46,True,52,1,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4607,44,0,0,266,416,44,False,36,0,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4608,181,0,0,300,415,46,False,13,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4615,13,0,0,430,111,45,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4617,82,0,0,431,153,46,False,11,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4618,1697,0,0,437,152,49,False,48,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4628,116,0,0,422,197,46,True,69,0,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4635,68,0,0,422,236,45,False,6,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4636,556,0,0,391,238,47,False,46,0,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4640,22,0,0,288,243,44,True,100,1,True,False,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4641,658,0,0,392,243,47,True,53,0,True,True,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4642,1,0,0,286,246,44,False,0,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4644,196,0,0,277,250,48,False,20,0,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4645,251,0,0,422,250,48,False,10,1,False,True,True,surface_shell
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4651,2,0,0,351,261,44,True,100,2,True,False,True,inside_mesh
Channel 1 mask,Protein 2,Mul(Channel 3)_xMask(Channel 3 mask),4652,3,0,0,510,263,44,False,0,1,False,True,True,surface_shell
